Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
Common Bowman,Chinatown,Rental,Leased Up,14  units,https://dc.urbanturf.com/pipeline/754/Common_Bowman,,,                                  Rental apartments                              </p>,14.0,                  Studios within co-living space                </p>,,,"                  From $1,550                </p>",,Common  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  819 6th Street NW,  Washington, DC,  20001,  ",Leased Up,                    November 2017                  </p>,38.9004928,-77.0196338
OSLOatlas,Trinidad,Rental,Leased Up,8  units,https://dc.urbanturf.com/pipeline/561/OSLOatlas,,,                                  Rental apartments                              </p>,8.0,"                  Five-bedroom, co-living apartments                </p>",,,"                  $1,100 - $1,300                </p>",,Square 134  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1219 Florida Ave NE,  Washington, DC,  20002,  ",Leased Up,"                    2017                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.9020596,-76.9890563
The Riverfront at West Hyattsville,Hyattsville,Condos & Rental apartments,"Under Construction, Leasing Up",781  units,https://dc.urbanturf.com/pipeline/1179/The_Riverfront_at_West_Hyattsville,,,                                  Condos &amp; Rental apartments                              </p>,781.0,                  TBD                </p>,,,,https://www.gilbaneco.com/projects/the-riverfront-at-west-hyattsville-metro/,,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Lancer Dr & Ager Rd,  Hyattsville, MD,  20782,  ","Under Construction, Leasing Up",,38.9579144,-76.9675171
Modera Lady Bird,Spring Valley,Rental,"Under Construction, Leasing Up",234  units,https://dc.urbanturf.com/pipeline/497/Modera_Lady_Bird,,,                                  Rental apartments                              </p>,234.0,"                  Studios, one-, two- and three-bedroom units                </p>",,,,https://millcreekplaces.com/community/modera-lady-bird/?utm_source=Press%20Release&amp;utm_content=Moderaladybirdconstructionunderway,Torti Gallas Urban  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4330 48th Street NW,  Washington, DC,  20016,  ","Under Construction, Leasing Up",,38.9458266,-77.0954802
Quincy Lane,Eckington,Townhomes & Condos,"Delivered, Selling",224  units,https://dc.urbanturf.com/pipeline/851/Quincy_Lane,,,                                  Townhomes &amp; condos                              </p>,224.0,"                  One-, two- and three-bedroom residences                </p>",,,                  From the $300s                </p>,https://1625eckington.com/quincy-lane/,KTGY Architecture  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1625 Eckington Place NE,  Washington, DC,  20002,  ","Delivered, Selling",,38.9120054,-77.0038263
2715 M Street NW,Georgetown,Rental,"Under Construction, Not Yet Leasing",36  units,https://dc.urbanturf.com/pipeline/1104/2715_M_Street_NW,,,                                  Rental apartments                              </p>,36.0,                  One- and two-bedroom apartments                </p>,,,,https://2715mstreetapts.com/,Emotive Architecture  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2715 M Street NW,  Washington, DC,  20007,  ","Under Construction, Not Yet Leasing",,38.9054046,-77.0565584
Brookland Grove,Brookland,Townhomes,Sold Out,60  units,https://dc.urbanturf.com/pipeline/982/Brookland_Grove,,,                                  Townhomes                              </p>,60.0,                  Three- and four-level townhomes with 1-2 bay garages and rooftop terrace                </p>,,,                  From the mid $800s                </p>,,Tri Pointe Homes  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  436 Holmwood Drive NE,  Washington, DC,  20017,  ",Sold Out,,38.9284805,-76.9995722
The Eave,Adams Morgan,Condo,"Delivered, Selling",4  units,https://dc.urbanturf.com/pipeline/1308/The_Eave,,,                                  Condos                              </p>,4.0,                  One bedrooms                </p>,,,"                  Starting from $399,900                </p>",https://mcwb.com/properties/the-eave/,,"                November 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2465 18th Street NW,  Washington, DC,  20009,  ","Delivered, Selling",,38.9221376,-77.0421945
Europa,Capitol Hill,Rental,"Delivered, Leasing Up",49  units,https://dc.urbanturf.com/pipeline/733/Europa,,,                                  Rental apartments                              </p>,49.0,"                  Studios, one- and two-bedroom units                </p>",,,,https://mmgdevelopment.com/europa-818-potomac-ave-se/,PGN Architects  ,"                November 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  818 Potomac Avenue SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2021                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.8769345,-76.9948026
The Charles,Bethesda,Rental,"Under Construction, Not Yet Selling",301  units,https://dc.urbanturf.com/pipeline/1119/The_Charles,,,                                  Rental apartments                              </p>,301.0,"                  Studio, one-, two- and three-bedroom apartments                </p>",,,,https://thecharlesmd.com/,SK+I Architecture  ,"                October 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7340 Wisconsin Avenue,  Bethesda, MD,  20814,  ","Under Construction, Not Yet Selling",,38.9829967,-77.093416
1455-1457 Church Street NW,Logan Circle,Condo,"Under Construction, Not Yet Selling",65  units,https://dc.urbanturf.com/pipeline/1096/14551457_Church_Street_NW,,,                                  Condos                              </p>,65.0,                  TBD                </p>,,,,,Eric Colbert &amp; Associates  ,"                October 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1455-1457 Church Street NW,  Washington, DC,  20005,  ","Under Construction, Not Yet Selling",,38.9105195,-77.0336498
2001-2027 Martin Luther King Jr. Avenue,Anacostia,Townhomes & Condos,"Under Construction, Not Yet Selling",143  units,https://dc.urbanturf.com/pipeline/590/20012027_Martin_Luther_King_Jr_Avenue,,,                                  Townhomes &amp; condos                              </p>,143.0,                  TBD                </p>,,                  Underground parking level with 69 spaces                </p>,,,Michael Marshall Design  ,"                October 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2001-2027 Martin Luther King Jr. Avenue SE,  Washington, DC,  20020,  ","Under Construction, Not Yet Selling",,38.8666901,-76.9890603
Valen,National Landing,Rental,"Delivered, Leasing Up",338  units,https://dc.urbanturf.com/pipeline/1255/Valen,,,                                  Rental apartments                              </p>,338.0,"                  Junior one-bedrooms, one-, two- and three-bedroom apartments                </p>",,,,https://www.thezoevalen.com/valen,,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2000 S Bell St,  Arlington, VA,  22202,  ","Delivered, Leasing Up",,38.8558269,-77.0516529
Bryant Street Development,Edgewood,Rental,"Under Construction, Leasing Up",1650  units,https://dc.urbanturf.com/pipeline/457/Bryant_Street_Development,,,                                  Rental apartments                              </p>,1650.0,                  TBD                </p>,,"                  Approx. 2,000 parking spaces, a two-level movie theater, pedestrian bridge to Rhode Island Avenue Metro Station                </p>",,https://www.bryantstreetdc.com/,SK+I Architecture  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  680 Rhode Island Avenue NE,  Washington, DC,  20002,  ","Under Construction, Leasing Up",,38.9215033,-76.9967132
Fox 5 Headquarters Redevelopment,Friendship Heights,Rental,"Under Construction, Not Yet Leasing",210  units,https://dc.urbanturf.com/pipeline/834/Fox_5_Headquarters_Redevelopment,,,                                  Rental apartments                              </p>,210.0,                  TBD                </p>,,,,,Torti Gallas Urban  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5151 Wisconsin Avenue NW,  Washington, DC,  20016,  ","Under Construction, Not Yet Leasing","                    2025                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.9567355,-77.0830922
Barry Farm Redevelopment,Barry Farm,Condos & Rental apartments,"Under Construction, Leasing Up","1,000",https://dc.urbanturf.com/pipeline/579/Barry_Farm_Redevelopment,,,                                  Condos &amp; Rental apartments                              </p>,,"                  One-, two-, three-, four-, five- and six-bedroom units                </p>",,,,http://barryfarmredevelopment.org,Grimm + Parker  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Firth Sterling Avenue SE & Eaton Road SE,  Washington, DC,  20020,  ","Under Construction, Leasing Up",,,
Kiley Apartments,Southwest,Rental,"Delivered, Leasing Up",330  units,https://dc.urbanturf.com/pipeline/446/Kiley_Apartments,,,                                  Rental apartments                              </p>,330.0,"                  Studios, one-, two- and three-bedroom apartments as well as garden-style duplexes                </p>",,"                  Two rooftop pools, fitness center, 24-hour concierge, landscaped courtyard, playground                </p>",,https://www.livethekiley.com,WDG Architecture  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  600 4th Street,  Washington, DC,  20024,  ","Delivered, Leasing Up","                    February 2021                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",,
DCHA Headquarters Redevelopment,NoMa,Rental,"Under Construction, Leasing Up","1,100",https://dc.urbanturf.com/pipeline/934/DCHA_Headquarters_Redevelopment,,,                                  Rental apartments                              </p>,,                  TBD                </p>,,,,,,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1133 North Capitol Street NE,  Washington, DC,  20002,  ","Under Construction, Leasing Up",,38.9048376,-77.0089597
Terrace Manor,Randle Heights,Rental,"Delivered, Leasing Up",130  units,https://dc.urbanturf.com/pipeline/794/Terrace_Manor,,,                                  Rental apartments                              </p>,130.0,"                  One-, two- and three-bedroom apartments                </p>",,,,https://www.terracemanordc.com/,Stoiber + Associates  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2270-2276 Savannah Street SE,  Washington, DC,  20020,  ","Delivered, Leasing Up",,38.8479339,-76.9719073
Solaire 7607,Downtown Bethesda,Rental,"Delivered, Leasing Up",198  units,https://dc.urbanturf.com/pipeline/874/Solaire_7607,,,                                  Rental apartments                              </p>,198.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://www.solaire7607.com/,Shalom Baranes Associates  ,"                October 22nd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7607 Old Georgetown Road,  Bethesda, MD,  20814,  ","Delivered, Leasing Up","                    Late 2023                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.986026,-77.0956381
EucKal,Adams Morgan,Rental,"Delivered, Leasing Up",25  units,https://dc.urbanturf.com/pipeline/424/EucKal,,,                                  Rental apartments                              </p>,25.0,"                  One-, two- and three-bedroom residences                </p>",,,,https://jubileehousing.org/,Bonstra|Haresign  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1724 Kalorama Road NW,  Washington, DC,  20009,  ","Delivered, Leasing Up","                    2025                  </p></div>, <div class=""block""><h3>Jen Angotti</h3>",38.9207939,-77.0394546
Hill East Development District,Hill East,Rental,"Under Construction, Not Yet Leasing","1,068",https://dc.urbanturf.com/pipeline/310/Hill_East_Development_District,,,                                  Rental apartments                              </p>,,                  TBD                </p>,,,,https://dmped.dc.gov/page/hill-east-district-redevelopment,GTM Architects  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  19th Street SE & Massachusetts Avenue SE,  Washington, DC,  20003,  ","Under Construction, Not Yet Leasing",,,
Rosslyn Towers at The Key,Rosslyn,Rental,"Delivered, Leasing Up",514  units,https://dc.urbanturf.com/pipeline/882/Rosslyn_Towers_at_The_Key,,,                                  Rental apartments                              </p>,514.0,"                  One-, two- and three-bedroom residences                </p>",,,,https://www.rentrtk.com/,MTFA Design + Preservation  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1900 N. Fort Myer Drive,  Arlington, VA,  22209,  ","Delivered, Leasing Up",,38.8978049,-77.0727957
Stratos,Bridge District,Rental,"Delivered, Leasing Up",254  units,https://dc.urbanturf.com/pipeline/1306/Stratos,,,                                  Rental apartments                              </p>,254.0,                  Studio to two-bedroom residences                </p>,,,,https://dc.urbanturf.com/clicktracking?track_url=https%3A%2F%2Fwww.bridgedistrictdc.com%2Fstratos%2F%3Futm_source%3DUrbanTurf%26utm_medium%3Dreferral%26utm_campaign%3DBridgeDistrict_UrbanTurf_article_Oct2025,,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  600 Howard Rd SE,  Washington, DC,  20020,  ","Delivered, Leasing Up",,38.865,-77.000623
"2502 Martin Luther King, Jr. Avenue SE",Anacostia,Condo,Planned,TBD,https://dc.urbanturf.com/pipeline/1305/2502_Martin_Luther_King_Jr_Avenue_SE,,,                                  Condos                              </p>,,                  One- and two-bedroom apartments                </p>,,,,,Michael Graves Architecture  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  One- and two-bedroom apartments,  Washington, DC,  20020,  ",Planned,,,
Montgomery Pearl,Bethesda,Rental,Planned,TBD,https://dc.urbanturf.com/pipeline/1304/Montgomery_Pearl,,,                                  Rental apartments                              </p>,,                  Studios to three-bedroom apartments                </p>,,,,,BKV Group  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4540 Montgomery Ave,  Bethesda, MD,  20814,  ",Planned,,38.9839067,-77.091484
The Residences At Mazza,Friendship Heights,Rental,"Delivered, Leasing Up",321  units,https://dc.urbanturf.com/pipeline/1241/The_Residences_At_Mazza,,,                                  Rental apartments                              </p>,321.0,"                  Studios, two-story townhouses, terrace penthouses and more                </p>",,,,https://www.residencesatmazza.com,3XN  ,"                October 21st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  5300 Wisconsin Ave NW,  Washington, DC,  20015,  ","Delivered, Leasing Up","                    Late summer 2025                  </p></div>, <div class=""block""><h3>Maxwell Rabin</h3>",38.960176,-77.085535
14 Church,Logan Circle,Condo,"Under Construction, Not Yet Selling",65  units,https://dc.urbanturf.com/pipeline/1301/14_Church,,,                                  Condos                              </p>,65.0,"                  One-, one-bedroom and den, two-bedroom, and two-level homes                </p>",,,                  From the mid $500s                </p>,https://www.14church.com/,,"                October 15th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1455 Church Street NW,  Washington, DC,  20005,  ","Under Construction, Not Yet Selling",,38.9105195,-77.0336498
The Brooks,Walter Reed,Condo,Sold Out,89  units,https://dc.urbanturf.com/pipeline/723/The_Brooks,,,                                  Condos                              </p>,89.0,"                  One-, two- and three-bedroom condominiums                </p>","                  517 - 1,347 square feet                </p>",                  The Brooks owners receive one year of complimentary access to The Vale's Amenity Club                </p>,                  From the $400s                </p>,https://theparksdc.com/lives/the-brooks/,Torti Gallas + Partners  ,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  6803 Cameron Drive NW,  Washington, DC,  20012,  ",Sold Out,,38.9729005,-77.0282977
Dylan,Potomac Yard,Condo,Sold Out,140  units,https://dc.urbanturf.com/pipeline/964/Dylan,,,                                  Condos                              </p>,140.0,"                  One-, two-, and three-bedroom residences                </p>",,,                  From the $600s                </p>,https://www.dylanva.com,,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  737 Swann Avenue,  Alexandria, VA,  22301,  ",Sold Out,,38.8291757,-77.0528582
1214 Meigs Condominiums,Trinidad,Condo,Sold Out,4  units,https://dc.urbanturf.com/pipeline/1215/1214_Meigs_Condominiums,,,                                  Condos                              </p>,4.0,                  Two- and three-bedroom condominiums                </p>,"                  1,585 square feet                </p>",,"                  From $569,900 to $729,9000                </p>",https://dc.urbanturf.com/clicktracking?track_url=https%3A%2F%2F1214meigs.com%2F%3Futm_source%3Durban_turf%26utm_medium%3Darticle%26utm_campaign%3Djuly_2024,,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1214 Meigs Place NE,  Washington, DC,  20002,  ",Sold Out,,38.9081926,-76.9854711
Off Twelfth Condominiums,H Street Corridor,Condo,Sold Out,24  units,https://dc.urbanturf.com/pipeline/1052/Off_Twelfth_Condominiums,,,                                  Condos                              </p>,24.0,                  One- and two-bedroom condominiums                </p>,,"                  Dog wash station, bike storage and repair station, keyless entry, private balconies                </p>",,,,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  919 12th Street NE,  Washington, DC,  20002,  ",Sold Out,,38.9016094,-76.9901348
Eckington Mews Apartments,Eckington,Rental,Planned,26  units,https://dc.urbanturf.com/pipeline/1183/Eckington_Mews_Apartments,,,                                  Rental apartments                              </p>,26.0,                  TBD                </p>,,,,https://www.nextgenproperty.com/portfolio-collections/my-portfolio/eckington-mews-apartments-innovative-living-in-washington-dc,Powe Studio Architects  ,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1710 1st Street NE,  Washington, DC,  20002,  ",Planned,,38.9131468,-77.0068014
901 Monroe,Brookland,Rental,Planned,230  units,https://dc.urbanturf.com/pipeline/266/901_Monroe,,,                                  Rental apartments                              </p>,230.0,"                  Studio, one-bedroom, two-bedroom and three-bedroom apartments                </p>",,,,https://www.901monroe.com/,Maurice Walters Architect  ,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  901 Monroe Street NE,  Washington, DC,  20017,  ",Planned,                    2028                  </p>,38.932331,-76.993523
The Ritz-Carlton Residences in Tysons,Tysons Corner,Condo,Planned,102  units,https://dc.urbanturf.com/pipeline/1302/The_RitzCarlton_Residences_in_Tysons,,,                                  Condos                              </p>,102.0,                  TBD                </p>,,,,,FXCollaborative  ,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7927B Westpark Dr,  Tysons, VA,  22102,  ",Planned,,,
Mira and Ador,Ballston,Rental,"Under Construction, Not Yet Leasing",553  units,https://dc.urbanturf.com/pipeline/973/Mira_and_Ador,,,                                  Rental apartments                              </p>,553.0,"                  Studios, one-, two- and three-bedroom apartments                </p>",,,,,SK+I Architecture  ,"                October 9th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  685 N. Glebe Road,  Arlington, VA,  22203,  ","Under Construction, Not Yet Leasing",,38.8787193,-77.1122109
4201 Garrison Street NW,Friendship Heights,Condo,Planned,126  units,https://dc.urbanturf.com/pipeline/1206/4201_Garrison_Street_NW,,,                                  Condos                              </p>,126.0,                  TBD                </p>,,,,https://www.donohoe.com/development/key-projects/4201-garrison/,Torti Gallas Urban  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4201 Garrison Street NW,  Washington, DC,  20016,  ",Planned,,,
Block M,National Landing,Rental,Planned,1440  units,https://dc.urbanturf.com/pipeline/1038/Block_M,,,                                  Rental apartments                              </p>,1440.0,                  TBD                </p>,,,,https://www.arlingtonva.us/Government/Projects/Project-Types/Site-Plan/2101-2111-Richmond-Highway-Crystal-Plaza-Apartments,,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  223 23rd Street,  Arlington, VA,  22202,  ",Planned,,38.8534137,-77.0502065
3601 Wilson Boulevard,Arlington,Condo or Rental - TBD,Planned,94  units,https://dc.urbanturf.com/pipeline/1253/3601_Wilson_Boulevard,,,                                  Condo or Rental - TBD                              </p>,94.0,                  TBD                </p>,,,,,Soto Architecture and Urban Design  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3601 Wilson Boulevard,  Arlington, VA,  22201,  ",Planned,,38.8821723,-77.1032709
Hillside Residences,Georgetown,Condo,Planned,21  units,https://dc.urbanturf.com/pipeline/71/Hillside_Residences,,,                                  Condos                              </p>,21.0,"                  One-, two- and three bedroom condominiums                </p>","                  1,200 - 4,387 square feet                </p>","                  Communal wine cellar, rooftop pool deck, fitness room with yoga studio, lounge areas                </p>",,,Handel Architects  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  3601 M Street NW,  Washington, DC,  20007,  ",Planned,,38.905109,-77.069963
450 5th Street NW,Judiciary Square,Rental,Planned,500  units,https://dc.urbanturf.com/pipeline/1251/450_5th_Street_NW,,,                                  Rental apartments                              </p>,500.0,                  TBD                </p>,,,,,Eric Colbert &amp; Associates  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  450 5th Street NW,  Washington, DC,  20530,  ",Planned,,38.8954765,-77.019032
Eisenhower Pointe,West Alexandria,Townhomes,"Delivered, Selling",130  units,https://dc.urbanturf.com/pipeline/1300/Eisenhower_Pointe,,,                                  Townhomes                              </p>,130.0,                  Three- to four-bedroom homes                </p>,,,,https://www.tripointehomes.com/va/alexandria/eisenhower-pointe/?utm_medium=publications&amp;utm_source=urbanturf&amp;utm_campaign=dcmetro_eisenhowerpointe_blog_septemberarticle,,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  111 Warburton Street,  Alexandria, VA,  22304,  ","Delivered, Selling",,38.8039288,-77.1188131
ANKA,H Street Corridor,Townhomes & Condos,Planned,94  units,https://dc.urbanturf.com/pipeline/1299/ANKA,,,                                  Townhomes &amp; condos                              </p>,94.0,"                  Studios, one- and two-bedrooms condos, and four-five bedroom townhomes                </p>",,,,,Axis Architecture + Interiors  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  901 3rd St NE,  Washington, DC,  20002,  ",Planned,,38.9015696,-77.0018175
2425 Mill Rd,Alexandria,Condo or Rental - TBD,Planned,767  units,https://dc.urbanturf.com/pipeline/1298/2425_Mill_Rd,,,                                  Condo or Rental - TBD                              </p>,767.0,                  TBD                </p>,,,,,Cooper Carry  ,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2425 Mill Rd,  Alexandria, VA,  22314,  ",Planned,,,
House of Ruth Development,Fairlawn,Rental,Planned,40  units,https://dc.urbanturf.com/pipeline/1162/House_of_Ruth_Development,,,                                  Rental apartments                              </p>,40.0,                  TBD                </p>,,,,,,"                October 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1815-1819 Minnesota Avenue SE,  Washington, DC,  20020,  ",Planned,,38.8696519,-76.9778583
25 Potomac Avenue SE,Capitol Riverfront,Rental,"Under Construction, Not Yet Leasing",590  units,https://dc.urbanturf.com/pipeline/1228/25_Potomac_Avenue_SE,,,                                  Rental apartments                              </p>,590.0,                  TBD                </p>,,,,,SK+I Architecture  ,"                September 26th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  25 Potomac Avenue SE,  Washington, DC,  20003,  ","Under Construction, Not Yet Leasing",,38.871654,-77.00658
1109 Congress Apartments,NoMa,Condo,Planned,69  units,https://dc.urbanturf.com/pipeline/827/1109_Congress_Apartments,,,                                  Condos                              </p>,69.0,"                  Studios, one- and two-bedroom units                </p>",,,                  From the mid-$400s                </p>,,Nelson Architects  ,"                September 26th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1109 Congress Street NE,  Washington, DC,  20002,  ",Planned,,38.9041919,-77.0025921
925 5th Street NW,Mount Vernon Triangle,Condo,"Under Construction, Not Yet Selling",40  units,https://dc.urbanturf.com/pipeline/605/925_5th_Street_NW,,,                                  Condos                              </p>,40.0,"                  Studios, one- and two- bedroom condos                </p>",,,,,WDG Architecture  ,"                September 26th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  925 5th Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Selling",,38.9016791,-77.018819
The Magenta,Trinidad,Condo,"Under Construction, Not Yet Selling",37  units,https://dc.urbanturf.com/pipeline/928/The_Magenta,,,                                  Condos                              </p>,37.0,"                  Studio, one- and two-bedroom apartments                </p>",,,,https://www.kurvarchitecture.com/1200-bladensburg-road,,"                September 26th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1200 Bladensburg Road NE,  Washington, DC,  20002,  ","Under Construction, Not Yet Selling",,38.9001416,-76.9835237
1232 4th,Union Market,Condo or Rental - TBD,"Under Construction, Not Yet Selling",98  units,https://dc.urbanturf.com/pipeline/1076/1232_4th,,,                                  Condo or Rental - TBD                              </p>,98.0,"                  Studios, one- and two-bedroom units                </p>",,,,https://cubedpartners.com/work-1/project-one-6x5fr,PGN Architects  ,"                September 25th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1232 4th Street NE,  Washington, DC,  20002,  ","Under Construction, Not Yet Selling",,38.9068317,-77.0006871
1333 M Street SE,Navy Yard,Condos & Rental apartments,Planned,900  units,https://dc.urbanturf.com/pipeline/397/1333_M_Street_SE,,,                                  Condos &amp; Rental apartments                              </p>,900.0,                  TBD                </p>,,,,https://www.felicedevelopmentgroup.com/projects/1333-m-street,GTM Architects  ,"                September 25th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1333 M Street SE,  Washington, DC,  20003,  ",Planned,,38.8790489,-76.9754472
2500 Wilson Boulevard,Court House,Rental,Planned,316  units,https://dc.urbanturf.com/pipeline/1220/2500_Wilson_Boulevard,,,                                  Rental apartments                              </p>,316.0,                  Studios to multi-bedroom apartments                </p>,,,,,Studios Architecture  ,"                September 19th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2500 Wilson Boulevard,  Arlington, VA,  22201,  ",Planned,,38.8899646,-77.0891598
4401-4435 Benning Road NE,Benning Road Corridor,Rental,Planned,109  units,https://dc.urbanturf.com/pipeline/1218/44014435_Benning_Road_NE,,,                                  Rental apartments                              </p>,109.0,                  TBD                </p>,,,,,Michael Graves Architecture  ,"                September 19th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4401-4435 Benning Road NE,  Washington, DC,  20019,  ",Planned,,38.891389,-76.939135
The Sidney,Union Market,Condo,"Delivered, Selling",48  units,https://dc.urbanturf.com/pipeline/1234/The_Sidney,,,                                  Condos                              </p>,48.0,"                  One-bedroom, one-bedroom and den, two-bedroom, and two-bedroom and den residences                </p>",,,                  The low $300s to the low $500s                </p>,https://www.thesidneydc.com/,,"                September 19th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1124 Florida Ave NE,  Washington, DC,  20002,  ","Delivered, Selling",,38.9033453,-76.9907302
1610 Columbia Road NW,Columbia Heights,Condo,Planned,34  units,https://dc.urbanturf.com/pipeline/1233/1610_Columbia_Road_NW,,,                                  Condos                              </p>,34.0,                  TBD                </p>,,,,,2Plys Architecture and Development  ,"                September 19th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1610 Columbia Road NW,  Washington, DC,  20009,  ",Planned,,38.9258778,-77.0370148
Novel Arlington Ridge,Green Valley,Rental,Planned,532  units,https://dc.urbanturf.com/pipeline/1107/Novel_Arlington_Ridge,,,                                  Rental apartments                              </p>,532.0,                  TBD                </p>,,,,,hord | coplan | macht  ,"                September 12th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2480 S Glebe Rd,  Arlington, VA,  22206,  ",Planned,"                    Summer 2027                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.8476487,-77.0804079
Reunion Square,Anacostia,Rental,"Under Construction, Not Yet Leasing",480  units,https://dc.urbanturf.com/pipeline/478/Reunion_Square,,,                                  Rental apartments                              </p>,480.0,"                  Studios, one-bedrooms and two-bedrooms                </p>",,,,https://www.reunion-square.net,Hickok Cole Architects  ,"                September 12th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Martin Luther King Jr Avenue SE & Chicago Street S,  Washington, DC,  20020,  ","Under Construction, Not Yet Leasing",                    TBD                  </p>,,
Westminster Presbyterian Church Redevelopment,Southwest,Rental,Planned,222  units,https://dc.urbanturf.com/pipeline/903/Westminster_Presbyterian_Church_Redevelopment,,,                                  Rental apartments                              </p>,222.0,                  One- and two-bedroom residences                </p>,,,,https://westminsterdc.org/our-redevelopment,KGD Architecture  ,"                September 12th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  400 I Street SW,  Washington, DC,  20024,  ",Planned,,,
