Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
New Bethany Infill Development,Shaw,Condo,Planned,45  units,https://dc.urbanturf.com/pipeline/1153/New_Bethany_Infill_Development,,,                                  Condos                              </p>,45.0,                  TBD                </p>,,,,,Eric Colbert &amp; Associates  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1301 11th Street NW,  Washington, DC,  20001,  ",Planned,,38.907364,-77.026928
Camden South Capitol,Southwest,Rental,"Delivered, Leasing Up",276  units,https://dc.urbanturf.com/pipeline/98/Camden_South_Capitol,,,                                  Rental apartments                              </p>,276.0,"                  Studio, one- and two-bedroom apartments                </p>","                  541 - 1,110 square feet                </p>","                  Rooftop pool, internal courtyard w/ fire pits                </p>","                  $1,629 - $3,709                </p>",http://www.camdensouthcapitol.com/,WDG Architecture  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1345 South Capitol Street SW,  Washington, DC,  20003,  ","Delivered, Leasing Up",,38.8733908,-77.0094712
The Hepburn,Dupont Circle,Rental,"Delivered, Leasing Up",195  units,https://dc.urbanturf.com/pipeline/526/The_Hepburn,,,                                  Rental apartments                              </p>,195.0,"                  Studios, one-, two- and three-bedroom apartments                </p>","                  450 - 2,000 square feet                </p>","                  Rooftop pool with cabanas, grills and fire pit, curated custom art program, private yoga studio, dog wash station                </p>","                  $3,400 - $9,795                </p>",http://www.thehepburndc.com,Beyer Blinder Belle  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1901 Connecticut Avenue NW,  Washington, DC,  20009,  ","Delivered, Leasing Up","                    July 2016                  </p></div>, <div class=""block""><h3>Sean Aalai</h3>",38.9165659,-77.0467395
MDL Flats,Buzzard Point,Rental,"Delivered, Leasing Up",177  units,https://dc.urbanturf.com/pipeline/714/MDL_Flats,,,                                  Rental apartments                              </p>,177.0,"                  One-, two- and four-bedroom units                </p>",,"                  Controlled access, on-site management and maintenance, rooftop views                </p>",,https://www.mdlflats.com,PGN Architects  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1530-1550 First Street SW,  Washington, DC,  20024,  ","Delivered, Leasing Up",,,
RiverPoint,Buzzard Point,Condos & Rental apartments,"Delivered, Leasing Up",485  units,https://dc.urbanturf.com/pipeline/674/RiverPoint,,,                                  Condos &amp; Rental apartments                              </p>,485.0,"                  Studio, one- and two-bedroom apartments                </p>","                  552 - 1,130 square feet                </p>",,"                  $1,876 - $4,212                </p>",https://www.riverpointdc.com,Antunovich Associates  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  2100 2nd Street SW,  Washington, DC,  20593,  ","Delivered, Leasing Up",,38.8641224,-77.0129454
The Heywood,Navy Yard,Rental,"Delivered, Leasing Up",17  units,https://dc.urbanturf.com/pipeline/1014/The_Heywood,,,                                  Rental apartments                              </p>,17.0,                  One and two- bedroom apartments                </p>,,,,https://www.wydownpm.com/our-properties/the-heywood,Teass|Warren Architects  ,"                June 30th, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  716 L Street SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2022                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.8776855,-76.9956134
Station U and O,Shaw,Rental,"Delivered, Leasing Up",108  units,https://dc.urbanturf.com/pipeline/638/Station_U_and_O,,,                                  Rental apartments                              </p>,108.0,                  One- and two-bedroom apartments                </p>,,,,,Grimm + Parker  ,"                June 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1707 7th Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.9128392,-77.0215315
1322 9th Street NW,Shaw,Rental,"Under Construction, Not Yet Selling",40  units,https://dc.urbanturf.com/pipeline/1117/1322_9th_Street_NW,,,                                  Rental apartments                              </p>,40.0,                  TBD                </p>,"                  420 to 1,100 square feet                </p>",,,,Architextual  ,"                June 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1322 9th Street NW,  Washington, DC,  20001,  ","Under Construction, Not Yet Selling",,38.9080241,-77.0244279
3825 Georgia,Petworth,Rental,"Delivered, Selling",32  units,https://dc.urbanturf.com/pipeline/624/3825_Georgia,,,                                  Rental apartments                              </p>,32.0,                  Studios and one-bedroom apartments                </p>,                  470 - 606 square feet                </p>,,"                  $1,825+                </p>",http://www.3825georgia.com,Bonstra|Haresign Architects  ,"                June 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  3825 Georgia Avenue NW,  Washington, DC,  20011,  ","Delivered, Selling","                    February 2017                  </p></div>, <div class=""block""><h3>Joel Nelson Group</h3>",38.9379482,-77.0244425
7th Flats,Shaw,Rental,"Delivered, Leasing Up",205  units,https://dc.urbanturf.com/pipeline/190/7th_Flats,,,                                  Rental apartments                              </p>,205.0,"                  Studio, one- and two-bedroom apartments                </p>","                  420 - 1,170 square feet                </p>","                  Fitness center, lobby, multimedia lounge, rooftop terrace and business center                </p>","                  $1,973 - $4,121                </p>",http://www.7thflats.com/?utm_source=UrbanTurf&amp;utm_medium=rentallisting&amp;utm_campaign=december2017,Eric Colbert &amp; Associates  ,"                June 23rd, 2024              </p></div>, <div class=""block""><h3>Where?</h3>",",  1825 7th Street NW,  Washington, DC,  20001,  ","Delivered, Leasing Up",,38.914834,-77.0215473
